first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,predict
Chickie,Brister,Male,86,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,1,1.71875,BEST
Morly,Genery,Male,69,Structural Engineer,Property,Mass Customer,N,No,16,14 Mccormick Park,2113,NSW,Australia,11,1,1.71875,BEST
Ardelis,Forrester,Female,10,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5,1,1.71875,BEST
Lucine,Stutt,Female,64,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.703125,BEST
Melinda,Hadlee,Female,34,Financial Analyst,Financial Services,Affluent Customer,N,No,19,115 Montana Place,2093,NSW,Australia,9,4,1.703125,BEST
Druci,Brandli,Female,39,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,6,1.671875,BEST
Rutledge,Hallt,Male,23,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7 Nevada Crossing,2620,NSW,Australia,7,6,1.671875,BEST
Nancie,Vian,Female,74,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,85 Carioca Point,4814,QLD,Australia,5,8,1.65625,BEST
Duff,Karlowicz,Male,50,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,717 West Drive,2200,NSW,Australia,10,8,1.65625,BEST
Barthel,Docket,Male,72,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.640625,BEST
Rockwell,Matson,Male,94,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.640625,BEST
Wheeler,Winward,Male,48,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.625,BEST
Olag,,Male,60,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,13,1.609375,BEST
Melba,Spellacy,Female,38,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375,BEST
Mandie,Feares,Female,32,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375,BEST
Dukie,Swire,Male,88,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625,BEST
Marcelia,Monkleigh,Female,61,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875,BEST
Winnifred,Beswetherick,Female,83,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,17,1.546875,BEST
Odilia,Quick,Female,65,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125,BEST
Karly,Willavize,Female,2,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,19,1.53125,BEST
Teddie,Burchill,Male,11,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625,BEST
Gaston,Dallaghan,Male,44,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625,BEST
Otis,Ottey,Male,26,Quality Engineer,,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5,BEST
Tabbatha,Averill,Female,5,Quality Control Specialist,,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5,BEST
Brena,Schnitter,Female,78,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375,BEST
Rourke,Gillbard,Male,11,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875,BEST
Dyane,Burwell,Female,19,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875,BEST
Claudine,Barstowk,Female,71,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875,BEST
Blinnie,Roze,Female,84,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875,BEST
Rhona,De Freyne,Female,45,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375,BEST
Sharron,Claibourn,Female,62,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375,BEST
Brien,Heaton,Male,70,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125,BEST
Sybilla,MacCart,Female,88,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125,BEST
Mikel,McNess,Male,71,Nurse,,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125,BEST
Maisie,Maddox,Female,27,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125,BEST
Arleen,Casbolt,Female,48,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625,BEST
Farlie,Petford,Male,76,Recruiting Manager,,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625,BEST
Mitchell,MacCague,Male,58,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375,BEST
Garik,Whitwell,Male,44,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375,BEST
Antonin,Britt,Male,64,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375,BEST
Vinny,Incogna,Female,73,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375,BEST
Colene,Fishleigh,Female,24,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875,BEST
Neile,Argent,Female,79,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875,BEST
Corinna,Suggey,Female,52,Design Engineer,,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375,BEST
Brooke,Arling,Male,76,,,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375,BEST
Gipsy,Ewestace,Female,29,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125,BEST
Sheena,Kybbye,Female,14,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125,BEST
Jobina,Gobourn,Female,85,VP Quality Control,,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125,BEST
Gale,Disbrow,Female,59,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125,BEST
Thaxter,Kingsbury,Male,12,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625,BEST
Heinrick,Shilstone,Male,60,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625,BEST
Taylor,Steuhlmeyer,Male,62,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125,BEST
Griswold,Kelsall,Male,55,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125,BEST
Odessa,Mc Andrew,Female,97,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125,BEST
Lavena,Seekings,Female,87,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125,BEST
Martelle,Tuppeny,Female,52,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125,BEST
Briant,Ladley,Male,75,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375,BEST
Marylou,Kirkup,Female,51,VP Product Management,,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375,BEST
Whittaker,,Male,64,Media Manager III,,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.375,BEST
Normy,Goodinge,U,5,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,57,1.375,BEST
Lorrie,Antonelli,Male,47,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375,BEST
Jedediah,Kedie,Male,31,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875,BEST
Kaine,Smallcombe,Male,59,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875,BEST
Loise,Iltchev,Female,70,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875,BEST
Cristen,Maroney,Female,22,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625,BEST
Dorothy,Barnardo,Female,58,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625,BEST
Rosmunda,Duxbarry,Female,69,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625,BEST
Rozamond,Riha,Female,54,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875,BEST
Gunner,Petti,Male,62,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875,BEST
Vivienne,Crayden,Female,82,Associate Professor,,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875,BEST
Sherilyn,Canero,Female,11,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875,BEST
Bessie,Roscow,Female,78,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35,BEST
Kevina,Ferandez,Female,73,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35,BEST
Yancy,Clementet,Male,5,Mechanical Systems Engineer,,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35,BEST
Mabelle,Wellbelove,Female,76,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35,BEST
Hasheem,Groucock,Male,98,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35,BEST
Tobias,Woodhams,Male,0,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625,BEST
Glennis,Flintoff,Female,36,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375,BEST
Chanda,Mensler,Female,15,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375,BEST
Katheryn,Kinner,Female,15,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375,BEST
Sumner,Carrivick,Male,53,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375,BEST
Valerie,Pickover,Female,34,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375,BEST
Esther,Rooson,Female,14,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375,BEST
Gardie,Crellim,Male,58,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125,BEST
Sean,O'Loughlin,Male,48,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325,BEST
Pietra,Buckleigh,Female,9,Engineer III,,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325,BEST
Marysa,Rouchy,Female,8,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325,BEST
Kahaleel,,Male,5,GIS Technical Architect,,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375,BEST
Ossie,Midden,Male,49,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125,BEST
Sid,Carlone,Male,24,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125,BEST
Ludovico,Juster,Male,93,Environmental Specialist,,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125,BEST
Patricia,Everix,Female,34,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125,BEST
Andromache,Bonafacino,Female,84,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125,BEST
Levy,Abramamov,Male,94,Teacher,,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125,BEST
Nobe,McAughtry,Male,25,,,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125,BEST
Jehu,Prestedge,Male,91,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3,BEST
Symon,Mawne,Male,18,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3,BEST
Karlik,Penchen,Male,60,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3,BEST
Bengt,Bilson,Male,26,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875,BEST
Evangelin,Boc,Female,30,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875,BEST
Hanny,Treven,Female,84,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875,BEST
Gina,Mallon,Female,56,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125,BEST
Reynold,Elman,Male,19,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125,BEST
Flossy,Concannon,Female,64,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875,BEST
Cristen,Wiltshire,Female,59,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875,BEST
Griffith,Escot,Male,50,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875,BEST
Jamie,Jiruca,Female,21,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875,BEST
Lyon,Brittan,Male,14,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875,BEST
Aridatha,Sephton,Female,95,Human Resources Assistant II,,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875,BEST
Michal,Bryan,Female,1,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875,BEST
Franciska,Stigell,Female,95,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125,BEST
Jordan,Clampe,Male,37,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125,BEST
David,Napoleon,Male,72,Structural Engineer,,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125,BEST
Meriel,Tapp,Female,0,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275,BEST
Dolley,Starmont,Female,53,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275,BEST
Frederik,Milan,Male,45,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275,BEST
Rollo,Louedey,Male,64,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275,BEST
Jerrine,Cosbey,Female,21,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275,BEST
Roddy,Rubinshtein,Male,37,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275,BEST
Viki,Coutts,Female,2,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625,BEST
Ashby,Bispham,Male,71,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625,BEST
Alexander,Broadbent,Male,57,Desktop Support Technician,,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625,BEST
Teddy,Lagadu,Female,86,Design Engineer,,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625,BEST
Peria,Rantoull,Female,3,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625,BEST
Ludvig,Andren,Male,44,Media Manager III,,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875,BEST
Elsworth,Abbitt,Male,71,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875,BEST
Rebeca,Aggas,Female,66,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25,BEST
Ricki,Dobrowski,Male,13,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25,BEST
Georgetta,Lovett,Female,42,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25,BEST
Bambi,Cogger,Female,51,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25,BEST
Aurie,Rhead,Female,78,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25,BEST
Farris,Skettles,Male,38,Payment Adjustment Coordinator,,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375,BEST
Sharline,Abyss,Female,11,,,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375,BEST
Nowell,Preddy,Male,29,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375,BEST
Lacy,Drance,Female,27,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375,BEST
Padraig,Snel,Male,89,Staff Accountant II,,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375,BEST
Malorie,Votier,Female,90,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375,BEST
Shepperd,Ricards,Male,28,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375,BEST
Daryl,Pauncefort,Female,12,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375,BEST
Norina,Blakeway,Female,60,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375,BEST
My,Chaston,Male,92,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375,BEST
Isak,Bergstram,Male,14,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625,BEST
Grannie,Cracker,Male,28,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625,BEST
Welby,Lourenco,Male,6,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375,BEST
Glenn,Casbourne,Female,4,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375,BEST
Nadiya,Balasini,Female,40,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225,BEST
Tyne,Coate,Female,82,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225,BEST
Christie,Anders,Male,38,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225,BEST
Agnella,Capener,Female,58,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225,BEST
Bernardine,Delmonti,Female,39,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225,BEST
Daisy,Spowart,Female,60,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225,BEST
Denys,Minshall,Female,30,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875,BEST
Archibald,Blessed,Male,61,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875,BEST
Feodor,Englishby,Male,54,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125,BEST
